Epoch	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	LR	Time
1	228.07631	117.46832	367.96252	59.288746	203.31429	85.51938	384.38156	63.66027	200.0	5999	2.6408203	1.2512299	7.3142624	-0.67410266	2.6412897	1.2505418	7.0313873	-0.73249424	0.16538684	0.001	15175.575092315674
2	201.79097	90.58823	298.76624	102.524445	263.84753	102.786575	417.27664	70.90981	200.0	11999	8.89831	5.0684834	31.882513	0.53131527	8.895449	5.0650682	31.857933	0.533119	0.22419377	0.001	30074.753177165985
3	294.41522	94.27172	425.68143	193.35452	290.38736	117.420975	504.8415	62.87241	200.0	17999	19.480486	8.86515	48.89497	1.370262	19.47684	8.86363	49.0412	1.7647951	0.6297146	0.001	45923.544739961624
4	327.88147	136.591	413.7084	91.68609	349.07132	147.93959	522.66907	59.92576	200.0	23999	30.225847	12.995003	63.593483	1.4039186	30.221529	12.992777	63.73785	3.269346	1.1336781	0.001	60986.096351861954
5	398.16507	176.69608	569.6736	121.91989	373.15042	125.643364	570.4296	56.32602	200.0	29999	40.831146	16.666544	85.897964	5.0951767	40.828983	16.658651	80.32866	4.97828	1.7169585	0.001	76596.01623487473
6	352.33746	181.83168	559.1757	113.57548	363.28403	168.14072	592.4344	67.83925	200.0	35999	51.100845	20.688765	96.59554	7.3363695	51.100204	20.67972	96.13235	7.370938	2.2917273	0.001	91768.1215827465
7	409.1379	92.08724	527.2889	292.9334	399.51712	170.90157	600.9005	64.1437	200.0	41999	61.16918	25.318783	113.92301	7.606432	61.1734	25.31779	113.13489	8.35298	2.9173372	0.0009884681168817245	108108.91969227791
8	465.21265	89.61201	557.09906	338.7077	402.13617	133.00706	567.349	147.06767	200.0	47999	73.073814	30.752108	130.55972	6.786593	73.08793	30.739824	129.81659	7.2651844	3.7550762	0.0009514925472430978	124360.87277269363
9	369.7517	131.73921	503.4924	166.5331	405.46805	121.50044	571.4981	116.05356	200.0	53999	84.74923	35.77604	146.48161	4.8845286	84.76027	35.765858	146.52675	4.6340313	4.145034	0.0008919274001926453	139990.95503091812
10	292.63428	170.19562	544.70715	66.46992	386.85223	134.0817	556.68634	112.79531	200.0	59999	94.49529	40.298244	159.27753	4.8531995	94.50516	40.284286	158.77147	5.727764	4.3776407	0.0008127595209258702	155157.15631723404
11	430.80054	154.46317	607.0276	213.66154	433.08215	127.620155	550.36664	65.55468	200.0	65999	102.67003	43.968887	173.67099	7.1264634	102.665886	43.967216	173.08698	6.6343803	4.5717607	0.0007179587174854828	170602.64529514313
